ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-930395-19-0,Gender and Jewish Studies: A Curriculum Guide,"Baskin, Judith Reesa",Biblio Press,200.0,1994-04-01,"Women in Judaism--Outlines, syllabi, etc, Women in Judaism, Women in Judaism--Bibliography, Jewish women--Outlines, syllabi, etc, Jewish women, Jewish women--Bibliography, Universities and colleges--Curricula, Universities and colleges--United States--Curricula, Women's studies--Curricula, Women's studies--United States--Curricula, BM729.W6 G445 1994, 000087054, 296/.082",Paperback,"Thirty syllabi and bibliographies about Jewish women by outstanding academics, authors and scholars are designed for Jewish Studies courses in colleges.",en,Stated First Printing,"Height: 10 Inches, Length: 7 Inches, Weight: 0.7 Pounds, Width: 0.5 Inches",10.0,https://images.isbndb.com/covers/51/93/9780930395193.jpg,Success,93,17.1
0-679-74508-4,"Feminism in Our Time: The Essential Writings, World War II to the Present","Schneir, Miriam",Vintage,528.0,1994-06-28,"Feminism, History, Women",Paperback,"<p><P>From Simone de Beauvoir to Susan Faludi, from the ERA to Anita Hill &#151; a historically informed sourcebook that defines the intellectual and political underpinnings of contemporary feminism.<br><br>In this important volume, the respected feminist historian Miriam Schneir completes the work she began in her bestselling Feminism&#58; The Essential Historical Writings, presenting contemporary writings that define the women's movement today add reveal how radically transformative a force it is throughout the world.<br><br>Ranging from intensely personal statements to ringing manifestos, from diagnosis to outright rebellion, and incorporating both public records and works addressing such specific issues as religion, rape, women's health, pornography, and the concerns of lesbians and women of color, Feminism in Our Time is the most thorough record to date of women's ongoing struggle to control their own destinies and provide alternative visions of the just society and a true human equality.</p> <h3>Publishers Weekly</h3> <p>A sampler of feminist writings that focuses on the 1960s and '70s, this volume begins with a selection from Simone de Beauvoir's The Second Sex (1949) and then jumps rather abruptly to 1962 and Doris Lessing's The Golden Notebook . Incorporating a diverse range of contributors, from poets (Anne Sexton) to polemicists (Shulamith Firestone), Schneir's selection is lively, inspiring and inclusive--there are excerpts from legal documents , such as the ERA and Justice Blackmun's majority opinion in Roe v. . Wade , and from political statements from activist groups. Schneir's introductions, providing historical context and relevant biographical data, take pains to be diplomatic but also acknowledge disputes. Of antipornography crusader and censorship advocate Andrea Dworkin she writes, ``Her blunt, hard-hitting prose is anything but temperate or judicious.'' There is no sex-positive voice like Susie Bright or Betty Dodson to counterbalance Dworkin, but in anthologizing a heterogeneous movement, omissions are perhaps inevitable. Schneir has assembled not just a political sampler but an anthology of some of this country's best essayists. Her sequel to Feminism: The Essential Historical Writings will undoubtedly find a home on women's studies syllabuses, but it deserves a much broader readership. (July)</p>",en,1,"Height: 7.96 Inches, Length: 5.2 Inches, Weight: 0.86200744442 Pounds, Width: 0.95 Inches",17.95,https://images.isbndb.com/covers/50/82/9780679745082.jpg,Success,132,17.1
0-441-00007-X,Damia's Children (A Tower and Hive Novel),"McCaffrey, Anne",Ace,336.0,1994-02-01,"Social Science Fiction, Teen Fiction - Science Fiction",Mass Market Paperback,"<p><P>In Damia's Children, one of science fiction and fantasy's most beloved novelists, Anne McCaffrey, continues the story of psychic Talent begun with The Rowan and Damia. The Rowan's next generation of passionate and talented descendants prepare to defend their worlds against an alien attack of mysterious origin.<P>Damia had deflected a previous attack on the human worlds and sent the aliens into deep space. Hungry for more living space, they return with plans to dominate, armed with knowledge of the psychic defense they can expect from humanity.<P>However, as it has been learned that Talent can be both bred and taught, the combined abilities of Damia's children make them an even greater power than Damia or her mother. Each child has a special Talent that together makes them the most powerful Gwyn-Raven force yet to come. United they will confront the attackers face to face.</p><h3>Publishers Weekly</h3><p>Here McCaffrey introduces another generation in her saga of a family of powerful psionic Talents ( The Rowan and Damia ) raised to serve the Nine Star League. The eight children of Damia and Afra Raven-Lyon approach the threshold of maturity on Iota Aurogae, where they have been raised with young Mrdinis, the only other intelligent life that humankind has encountered--save for the pernicious Hive Culture, which has sought to destroy all other species in its drive to expand through the universe. The eldest teenager, Laria, is sent to the homeworld of the Mrdinis to improve relations between the two species. Thian, the oldest boy, encounters residual human prejudice and almost loses his life when he serves as liaison with a mixed human-Mrdini fleet. The other children contribute their own Talents and insight during stressful periods of human-nonhuman interaction. Certain to be a success with McCaffrey's fans, this initial entry in a promising series offers winning, carefully developed young characters, an attractive alien society and an enemy drawn with more than a touch of mystery and ambiguity. Science Fiction Book Club main selection; Doubleday Book Club alternate. (Jan.)</p>",en,Reprint,"Height: 6.72 Inches, Length: 4.2 Inches, Weight: 0.35 Pounds, Width: 0.92 Inches",6.48,https://images.isbndb.com/covers/00/74/9780441000074.jpg,Success,72,17.1
0-932379-19-2,Getting Home Alive,"Morales, Aurora Levins",Firebrand Books,213.0,1986-10-01,"American literature--Puerto Rican authors, American literature--Jewish authors, American literature--Women authors, American literature, American literature--20th century, Puerto Rican women--Literary collections, Feminism--Literary collections, Puerto Ricans, Puerto Ricans--United States--Literary collections, PS508.P84 M67 1986",Paperback,"Rosario Morales And Aurora Levins Morales Are Mother And Daughter--feminists And Radicals, Puerto Rican And American And Jewish--patterning Their Voices Into A Call And Response Across Generations, Geography, Politics, And Cultures.--jacket. Immigants. -hace Tiempo. Child Of The Americas. Tita's Poem. Concepts Of Pollution. Puerto Rico Journal. Destitution. The Grandmother Time. Memory. A Child's Christmas In Puerto Rico. My Revolution. In My Grandmother's House. If I Forget Thee, Oh Jerusalem. By Aurora Levins Morales And Rosario Morales.",en,First Edition,"Height: 9.75 Inches, Length: 5.5 Inches, Weight: 0.6 Pounds, Width: 0.75 Inches",1.99,https://images.isbndb.com/covers/91/91/9780932379191.jpg,Success,48,17.1
0-89789-340-9,Women's Glasnost vs. Naglost: Stopping Russian Backlash,"Mamonova, Tatyana",Holtzbrinck,208.0,1993-11-30,,Paperback,"<p>Yeltsin is certainly not the Sakharov of the Democratic Movement. Russian people sarcastically call his burning the Parliament an October Revolution of 1993. In <i>Women's Glasnost vs. Naglost</i> we finally hear the voices of the Russian women on what it means to be female and Russian in the tumultuous climate that is modern Russia. The founder of the Russian women's movement, Tatyana Mamonova was the first Russian woman exiled from the Soviet Union for publishing the underground samizdat, Woman and Russia. Now lauded as the Simone de Beauvoir of Russia, Mamonova has interviewed 17 Russian women on the subject of the C.A.S. as it relates to glasnost. Women from all walks of life are asked about changes with respect to their roles and expectations as women. Artists, professionals, dissidents, lesbians, doctors, writers, and civil servants tell their stories in candid terms showing that there is still a long road ahead. Revisions and elaborations of speeches delivered on Mamonova's American tours, poetry in her own hand, and line drawings in her own eloquent and prolific style compliment her essays and the women's interviews.</p>",en,,"Height: 9.21 Inches, Length: 6.1401452 Inches, Weight: 0.68784225744 Pounds, Width: 0.4350385 Inches",31.95,https://images.isbndb.com/covers/34/04/9780897893404.jpg,Success,104,17.1
0-06-092503-5,Reinventing Eve: Modern Woman in Search of Herself,"Chernin, Kim",Harper Perennial,224.0,1994-05-03,"Women, Psychology, History, Mythology, Women In The Bible, Identity (psychology)",Paperback,"An original reinterpretation of Eve and the Garden of Eden that offers women a new sense of feminine power and opportunity.
<p>Author Biography: Kim Chernin is a guest instructor at the San Francisco Psychoanalytic Institute, where she teaches a course in psychoanalytic models with Elizabeth Lloyd Mayer. She is the author of two books about eros and memory, <i>Crossing the Border</i>&nbsp; and <i>Sex and other Sacred Games</i>&nbsp; (with Renee Stendhal); a trilogy of books on hunger, <i>The Obsession, The Hungry Self,</i>&nbsp; and <i>Reinventing Eve;</i>&nbsp; a novel, <i>The Flame Bearers;</i>&nbsp; a memoir, <i>In My Mother's House;</i>&nbsp; a collection of poetry, <i>The Hunger Song;</i>&nbsp; a book about psychoanalysis, <i>A Different Kind of Listening;</i>&nbsp; and a spiritual memoir, <i>In My Father's Garden.</i>&nbsp; She has studed music on her own since the age of seven, when she first began to play the piano.</p>


                        <p>""...this is a book that philosophers, feminists, and religious leaders will find full of valuable insights.""--Kirkus Review
</p>",en,Harperperennial,"Height: 5.5 Inches, Length: 5.5 Inches, Weight: 0.4 Pounds, Width: 0.4848 Inches",14.0,https://images.isbndb.com/covers/50/31/9780060925031.jpg,Success,122,17.1
0-931432-90-1,Woman's Book of Rituals and Celebrations,"Ardinger, Barbara",New World Library,175.0,1992,,Hardcover,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.95 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/29/03/9780931432903.jpg,Success,125,17.1
1-56352-130-X,Cartoon Girl,"McAdams, Heather",Longstreet Pr,90.0,1994,Literary Collections,Paperback,,en,,"Height: 11 Inches, Length: 8.25 Inches, Weight: 0.59965735264 Pounds, Width: 0.25 Inches",8.95,https://images.isbndb.com/covers/13/00/9781563521300.jpg,Success,112,17.1
0-393-31155-4,Soul to Soul: A Black Russian Jewish Woman's Search for Her Roots,"Khanga, Yelena",W. W. Norton & Company,352.0,1994-06-17,,Paperback,,en,,"Height: 8.3 Inches, Length: 5.5 Inches, Weight: 0.992080179 Pounds, Width: 0.6 Inches",21.95,https://images.isbndb.com/covers/15/56/9780393311556.jpg,Success,127,17.1
0-231-08421-8,Women and Words in Saudi Arabia: The Politics of Literary Discourse,"Arebi, Saddeka",Columbia University Press,357.0,1994-08-18,"Arabic literature--History and criticism, Arabic literature--Saudi Arabia--History and criticism, Women authors, Arab--Political and social views, Women authors, Arab--Saudi Arabia--Political and social views, Arabic literature--20th century--History and criticism, Feminism and literature, Feminism and literature--zSaudi Arabia, Women--Social conditions, Women--Saudi Arabia--Social conditions, Feminism and literature--Saudi Arabia, Women and literature, Women and literature--Saudi Arabia, PJ8005 .A87 1994, 892/.76099287",Paperback,"Introduction: On Women And Words In Arabia -- Discourses Of Power -- 1. Women's Opportunities And The Social Organization Of Writing -- 2. History Of The Present And The Presence Of History: Traffic In Symbols, Knowledge, And Experience -- 3. Victimization Literature: The Poetics Of Justice And The Politics Of Representation -- 4. Redefining The Issues: The Politics Of Re-vision And The Production Of Difference -- 5. Literary Marginalization And The Privatization Of The Public -- 6. Conclusions And Implications: Contexts Of Resistance And The Dialectics Of Protest And Affirmation. Saddeka Arebi. Includes Bibliographical References (p. [331]-346) And Index.",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 1.08 Pounds, Width: 0.83 Inches",0.0,https://images.isbndb.com/covers/42/15/9780231084215.jpg,Success,114,17.1
