PageNumber,Text,ISBNs
1,"Feminist Bookstore News
Source: Reveal Digital, 05-01-1996
Contributed by: Carol Seajay; Mary Ellen Kavanaugh; Jane Evershed; Alice Frier; Lee
Boojamra; Gail Leondar-Wright; Jenn Tust; Mev Miller; Kimber Williams; Dorothy Holland;
Suzanne; Alexandra Wilson; Jennifer Einhorn; Tee A. Corinne; Susanna Sturgis; Nan
Cinnater; Richard Labonté; Sandi Torkildson
Stable URL: https://www.jstor.org/stable/community.28036374
Licenses: Creative Commons: Attribution-NonCommercial
JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.
This item is openly available as part of an Open JSTOR Collection.
For terms of use, please refer to our Terms & Conditions at https://about.jstor.org/terms/#whats-in-jstor
Reveal Digital is collaborating with JSTOR to digitize, preserve and extend access to Reveal Digital
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"Behind Every Strong Pon
Is a Strong Wholesaler.
For nearly twenty-five years the people of Bookpeople have
been working hard to give you the tools you need to meet the
challenges of the trade.
Our publications give you access to our stock of over 30,000 BOOKPEOPLE
titlesE from over 3,00A0 publisheErs, a u nique mixc of irndepend ent ENTEDN; EEEEr
E e 94621
Private I program will generate lists of titles in subject areas of
your choosing. Orders (toll free)
Bookpeople provides all the information you need to make O) SAO
stock decisions quickly and easily, saving you time and effort. a 2
As always, orders received by noon ship the same day, with
next day service for most of California.
Add our strengths to your strengths.
For an up-to-date listing of our Feminist
Bookstore titles, call our toll free number to
We can provide you with information you
can use right away.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"Feminist Bookstore News
NOTES %88"" COMPUTER TABLE
O01000 O00 050
Greetings to all of you who are picking up FBN do it! Please include the vendor’s name and address.
for the first time at ABA. FBN is the trade magazine Deadline is May 10, but we'll keep the column open
for women’s bookstores and is read by general inde- until booksellers have actually received this issue and
pendent booksellers, by gay booksellers, by had a chance to respond, albeit quickly!
publishers from the mightiest of the mainstream to the
smallest of the independents, by editors, librarians, And last, but not least, please join us in welcoming
writers — in short, by everyone who cares passion- Lisa McGowan to the FBN staff. Lisa will be the Project
ately about feminist, lesbian, and gay bookselling, Manager for the Feminist Bookstores’ Fall Catalog. She
publishing and books. See page 78 for subscription worked with the first two catalogs as the mainstream
information. Publishers, please call or write for adver- press ad sales rep and comes to FBN with a wealth of
tising rates and mailing list rental information. bookselling and book-promotion experience. We're
very pleased to have her on our crew.
In addition to publishing Feminist Bookstore News, Yours in spreading the words,
we also publish the Feminist Bookstores’ Fall Catalog,
the full-color, 150-book catalog that is distributed in
all the feminist bookstores during the holiday season.
We also mail 150,000+ catalogs to the subscribers of
Ms., Out, Curve (Deneuve), Women’s Review of Books, FBN
and Lesbian Review of Books, for a total circulation of Deadlines
450,000 feminist book-buying households. It’s the
largest and most successful feminist book promotion
in the country and gives publishers an opportunity to Summer Announcements/
promote women’s and children’s books to a commit-
ted book-buying audience at a very reasonable price. Sidelines Issue
Please call FBN or stop at ABA Booth 752 for details.
July/August
Our next issue will be a combined Summer and May 10
Sidelines issue. We always hold the Summer issue for
wAB e A d ec co idv ee dra g te o b cu ot m, b w ini et h it A B wA it h b e tin hg e Ss io d e l la inte e s t h isi ss u ey e ta or, Letters, News & ABA Coverage
make our summer a little easier. As always, the Side- June 18
lines issue will feature “Sidelines Faves and Raves”
from booksellers around the country. So, booksellers,
please take a moment to jot down a few words about Fall Announcements Issue
y ino cu or r r ef ca tv )o , r i nte e, w eh sto ,t t e os rt , b m esto -s st e l lp inol git ic sia dll ey li n c eo sr r —ec t t h(o er ones September/October
you most enjoy selling and/or the sidelines your cus- July 5
tomers most appreciate. Two or three sentences will
Volume 19 Number 1 May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"SUNNYBROOK
a true story with lies
Persimmon Blackbridge
Funny, tragic and sexy, this is a lavishly illustrated novel
about trying to pass for normal. Blackbridge is co-author
of Still Sane and Kiss & Tell's Her Tongue on My Theory.
SEPTEMBER ISBN 0-88974-060-7 $15.95
FIRE POWER
Chrystos
""Chrystos is writing poetry which indeed changes the
world."" (Lambda Book Report) A 1996 Finalist for the
Lesbian Poetry Lambda Literary Award.
N
ISBN 0-88974-047-X $13.95
WHEN FOX IS A THOUSAND
Larissa Lai
“This first novel from Astraea Foundation award-winning
writer Larissa Lai comes as a particularly acute
pleasure."" (The Advocate) A 1996 Finalist for the
Chapters/Books in Canada First Novel Award.
ISBN 0-88974-041-0 $14.95
RESTRICTED ENTRY
Order from Censorship on Trial
a Janine Fuller and Stuart Blackley
VAEA y ""A c onci se aind read ableR histor y ... an, excellent
book."" (Harbourfront) A new edition, out for ABA, includes
ENKA the court's decision on this pivotal censorship trial.
ISBN 0-88974-053-4 $16.95
May/June 1996 2 Volume 19 Number 1
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-88974-060-7', '0-88974-047-X', '0-88974-041-0', '0-88974-053-4']"
6,"_FBN
Editor & Publisher
Carol Seajay
Assistant Editor A AR BT AICL E 1S 996.. - A ar e e 39
Jenn Tust
Advertising & Production Running a Women’s Literacy Program ...... 21
Kathryn Werhane Mother Kali’s: A Marketplace For Ideas . ..... 25
Publisher Profile: Sister Vision .......... 31
Columnists
Art Books Tee Corinne SBelliengs iAs Feemllineistr Bso,ok s to2re : Pa2rt 2. V......i t35 51
Canadian Books Alexandra Wilson
Gay Men’s Literature Richard Labonte TCB: Cultivating Your Co-op Dollars ....... 33
Mu s Mic y sN tee rw ies s J Ne an nn i f Ce ir n n E ai tn erhorn LBamOmyO NKomiSnaItiOonsr .S 1N.10 E uWsA 2S 9 2,a i 4117
New Media Dorothy Holland NSWS/ShOrt SONGS... i 7.
Science Fiction Susanna J. Sturgis
Sidelines Suzanne Canada Court Awards $170,000 to Little Sisters' e Sue Ostfield's
University Presses Mev Miller Arrest Records Expunged • Web Sites for Feminist Bookstores •
Lisa McGowan to Coordinate the Feminist Bookstore Network Fall
Proofreading Catalog • Feminist Bookstore Week — North America •
Elaine Blake, Sarah Holmes, Login/InBook Reorganization • Spinifex Press Goes Electronic
Kirsten Janene-Nelson, Charlotte Mautner,
Moonyean, Cathleen Moore, Dena Taylor, DAEPAdRTM E NITSndex l 127
Julie Van Pelt and Susan Waller
Announcements: =.. 15
Cover Art
Linda Bourke Back to Press & Other Good News . ....... 47
CLlaSOsifIiBOd rAdSs e aN 1 258
Feminist Bookstore News
2358 Market Street
PO Box 882554 Subscription Information `... ....... 78
415-62 S 6a -n 15 5F 6r a Fn Aci Xsc : o 4 1C 5A - 6 29 64 -1 88 98 70 T Whe ry it iW ngen .Wt:T ah na tt e-A d- W 3a .y : A < .. . . . . .2 .... .. . . . .. 4 9h. 45
e-mail: seajay @ dnai.com
Printed in USA THE BOOKS
FEMINIST BOOKSTORE NEWS is the communications Art BOOKS.. N e a. 63
vehicle for the informal network of feminist bookstores. Canadian B00ks.. u 56
FBN reaches 500 feminist and feminist-inclined book-
s st eor le ls e r in s th ine U . ES. n a gn ld a nC dan ,a d a E a us r w oe pll e ,a s Afe um sin ti rst a lb io ao ,k - New Zealand, Gay:Menis:Lit.) 5s s d e 73
India, Japan and Kenya. Librarians, women’s studies MUSIC. NEWS 0 i a S S 59
t pe ha ic lh ese r s c, o m b po ro ik s e r tev hi ee w re er ms, a i np du eb rli s h ofe r s t h a en d s u bf se cm rii bn eis rt s . biblio- MYsteries 2 2.. V Ni 69
Letters, articles, and news items should be received the NeW. Mediat SSN N ia 57
f arir ts ict l e F s r i ad na dy lo ef tt et rh s e a rm eo n tt hh e p rr ese pce od ni sn ibg i l ip tu yb l oic fa t i to hn e. aS uig thn oed rs. Olr Own Presses =.. 0. luse. 83
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is PUBIIShenS: ROW. S. s e e s 113
published bi-monthly in January, March, May, July, Science Fiction. -= -n-a 65
S Ne Ep Wte Sm b ae tr , 2 3a 5n 8d M N ao rv ke em t b Se tr r eb ey t, F SE aM n I N FrIS aT n c iB scO oO , K S CT AO R 9E 4114. Sidelines =. aaa sai 53
Second-Class Postage paid at San Francisco, CA. SmalliPressesi. S4 i SSS 93
POSTMASTER: Please send address changes to
FEMINIST BOOKSTORE NEWS, PO Box 882554, San University Presses... .......... 105
Francisco, CA 94188-2554.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",['29 64 -1 88 9']
7,"Firebrand
S= Books
oLan: Congratulates its 1996
: Lammy Finalists
: Eight Bullets : One Woman's Story
: of Surviving Anti-Gay Violence
Claudia Brenner with Hannah Ashley
Oral Tradition : Selected Poems, Old & New
: Jewelle Gomez
: Parker & Hulme : A Lesbian View
Julie Glamuzina and Alison J. Laurie
S/he
Minnie Bruce Pratt
Visit us at T) RdA
: Unnatural Dykes To Watch Out For
Alison Bechdel
Available to the trade from Complete catalog on request:
InBook (1-800-243-0138) Firebrand Books, 141 The Commons, Ithaca, New York 14850,
607-272-0000
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
My Sisters’ Words change away from a society that glorifies war,
304 N. McBride Street violence and the maintenance of the degradation of
Syracuse NY 13203 women. They provide me and my children with our
Dear FBN, bread and butter, they put food on my table, they do
As previously reported, I'm not happy with not require me to wear a triangle on my forehead like
receiving B&T Link twice a year, so I have upgraded a bar code on my goods, [whereas] the chain stores
to four times a year (January, April, July, October) at need bar codes to identify their masses of mainstream
the current rate of $394 for all four. This should help product to the masses. Independent bookstores set
with the problem of finding forthcoming titles. you free, chain stores chain you up!
I think that manufacturers can help out. I think
that if we find out a store is in financial difficulty we
can help them through the low periods by giving
them a break, cutting a deal. Just 20 manufacturers
Please note B&T Link prices go up effective May forgoing $100 off the bill could give the store a $2,000
1st: $175 for 1 update a year; $225 for 2; $450 for 4; $875 break, that might mean a month’s rent or that the store
for 9; and $1,095 for 12. could reinvest in its own future. Or just do any other
I'll keep you posted on how effective I find the inventive thing to help. Whenever it is brought to my
four times a year to be. Even four times a year at the attention that a store is in financial difficulty I will cut
new price is cheaper than B.I.P. them a break. The other stores that are flourishing can
I'm doing books at NWSA this year since most always help me pay my huge printing costs and over-
presses will be at ABA. Wish me luck. Would love heads when they order my art wares.
advice from anyone who has done it.
Mary Ellen Kavanaugh
Jane Evershed Card Collection Another way we can keep the free flow of impor-
PO Box 8874 tant information through keeping the independents
Minneapolis MN 55408 alive is to make it known in FBN and simply ask for
Dear FBN, donations. Without these outlets we will all eventu-
It has come to my attention that we as a commu- ally suffer, that is, the community of free-thinking
nity in the alternative bookstore are a kind of minority radicals, the manufacturers and the bookstore own-
ethnic group that needs to look out for each other in ers. Let's do it, let's keep each other going for the new
much the same way that the Jewish people rallied generations that need an alternative to the chain men-
against Hitlerian dictatorship and the threat of total tality and a feast of new ideas to get us off the path of
annihilation. The independent bookstores are under total self-destruction through the imbibing of mass
the same threat. Alternative information in a nation of media lies and hype.
daily propaganda is key to making the positive Jane Evershed
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
5 Kivy Street asking for your help in raising funds to pay Leslie’s
Huntington Station NY 11746 recent medical bills. Since early December, Leslie has
Dear FBN, been battling bacterial infections, which have
1996 will mark the 17th anniversary of the required expensive tests, medications and treatment.
founding of Womankind Books, and also a turning Leslie is a writer and activist with no health insur-
point in the lives of its founders, Alice Frier and Lee ance. Her medical debt is already $10,000. Because
Boojamra. Despite some tuggings at the heartstrings, Leslie was severely mistreated in the hospital due to
we are pleased to announce that Womankind Books her transgender expression, she is forced to continue
is up for sale. expensive intravenous care in a doctor ’s office and in
her home.
I am asking Leslie’s friends, admirers and other
lovers of justice to help offset some of Leslie’s
expenses. Please make a donation of any size to:
What started out in 1979 as a cozy little feminist Leslie Feinberg Health Fund, c/o William Sachs,
bookstore featuring a strong lesbian section, has Esq., Column Foundation, 370 Seventh Avenue,
metamorphosed into a thriving, well-known New York NY 10001. Make checks out to the Col-
national /international mail-order business specializ- umn Foundation and a note: For the Leslie Feinberg
ing in lesbian books and videos. With its sixteen-page Health Fund.
catalog, its impressive mailing list of loyal customers, Please spread the word.
seven computers, four full-time staffers, and com- Gail Leondar-Wright
puterized inventory system, Womankind Books
proves that a niche mail-order business can not only
survive, but thrive in these difficult economic times We received a copy of the following letter and couldn't
for booksellers. resist publishing it...
At this juncture in our lives, Lee and I have
decided that we wish to devote more of our time Direct Cinema Limited
and energy to nurturing and growing Rising Tide PO Box 10003
Press, the publishing company we started five years Santa Monica CA 90410
ago. Hence the decision to offer Womankind Books 800-525-0000
for sale. Dear Valued Customer:
As many bookstores have discovered, mail- We are terribly sorry for the delay in filling your
order sales can significantly augment in-store sales. recent order for The Burning Times, Goddess Remem-
Any lesbian/gay/feminist/alternative bookstore bered and Full Circle. During the past few months, we
considering mail order, or already doing so, would have experienced a greater than anticipated demand
benefit from acquiring this well-established com- for these wonderful films due to a promotion in the
pany. Serious, capitalized, prospective buyers are Feminist Bookstores’ Catalog (Fall 95) and a much
encouraged to explore the details with Alice Frier at stronger response from PBS stations that have utilized
516-427-1289. them for pledge premiums. :
Sincerely,
Alice Frier and Lee Boojamra
Womankind Books, Inc.
Currently, we are reprinting the video boxes and
46 Harlow Street duplicating the videos.
Arlington MA 02174 We apologize for this temporary inconvenience,
Dear FBN, and expect to fill all orders within the next few weeks.
On behalf of Leslie Feinberg author of Stone Butch SDincierreelyc,t Cinema Limited O
Blues, and the forthcoming Transgender Warriors, I am
May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"delayed in bringing its regulations in line with current
obscenity standards. In particular he noted that Cus-
toms had waited until a few days before the trial
began to drop the prohibition on representations of
On March 29, B.C. Supreme Court Justice Ken- anal penetration, despite the fact that the courts had
neth Smith ordered the Canadian government to pay ruled several years earlier that such depictions were
nearly $170,000 (75%) of Little Sisters’ legal costs. He not obscene. In light of that behavior, Smith awarded
also ordered Canada Customs to remove the Vancou- the bookstore 75% of special costs — Canadian courts
ver gay and lesbian bookstore from its “lookout” list rarely award 100% of special costs — and 75% is a very
at the Vancouver Mail Centre. high, and significant, award in the Canadian judicial
The rulings were the latest step in Little Sisters’ system. Little Sisters is actually expected to receive
long and arduous — and sometimes victorious — fight closer to $220,000 when disbursements such as long
against Canada Customs. Canada Customs stepped up distance calls and photocopying are added in.
its harassment of gay bookstores in the mid-eighties. Justice Smith also provided Little Sisters with
Little Sisters first mounted their legal case against Can- an option to apply for a second injunction to stop
ada Customs in 1986. Little Sisters’ current case asked Customs from seizing books on October 31, 1996, if
the court to declare unconstitutional the section of the Little Sisters is not satisfied with Customs behavior
Customs Act that allows individual Customs officers to in the interim.
seize books, videos and other materials at the border Janine Fuller, Little Sisters’ manager, told FBN that
that have 70t been determined to be obscene by any they were very pleased with the rulings. “The award
other agency. Little Sisters also charged Customs with takes a certain amount of stress off the bookstore,” she
violating gay and lesbian readers’ freedom of expres- understated. “We’ll still have to do fundraising for the
sion and equality under Canada’s Charter of Rights. appeal, but it helps with our outstanding debt.” Little
Following three years of delay, a lengthy trial, and over Sisters will file an appeal against the less strongly favor-
a year of deliberation, Justice Smith ruled in January able aspects of the ruling later this year. O
that the section was constitutionally sound but that
Customs often enforced its own rules in a manner that
violated the Charter of Rights.
On the strength of that declaration, Little Sisters
filed an injunction asking the court to stop Customs
from seizing books at the border until the court was Sue Ostfield, the InBook/South End sales rep
satisfied that the rules would no longer be applied in who was arrested at last year’s ABA while handing
an unconstitutional manner. Little Sisters also asked out leaflets during the No Newts demonstration, has
that the government be ordered to pay $225,000 in finally been notified that the records of her arrest have
“special costs.” Special costs are awarded in Canadian been expunged from the files of the Chicago Police
courts when the court finds a party has engaged in Department and the Department of State Police.
reprehensible behavior before or during the trial. Records of the arrest and her fingerprints were
While Justice Smith did not find Customs’ behav- returned to Sue in April, but her mug shots were not
ior to be reprehensible, he did find that Customs included in the package. Apparently mug shots aren't
Volume 19 Number 1 May/June 1996
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 00:53:40 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
