ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,13.2
0-914525-15-8,"What's a Virus, Anyway?: The Kids Book About AIDS","Fassler, David, McQueen, Kelly",Waterfront Books,84.0,1991-02,"Aids (disease), Juvenile Literature, Children's Art",Paperback,"A Discussion Of The Deadly Disorder Known As Aids, Accompanied By Children's Illustrations.",en,,"Height: 11 Inches, Length: 8.5 Inches, Weight: 0.7 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/51/58/9780914525158.jpg,Success,69.0,13.2
0-8306-3306-5,Abused No More: Recovery for Women in Abusive And/or Co-Dependent Alcoholic Relationships,"Ackerman, Robert J., Pickering, Susan E.",Human Services Inst,210.0,1989,,Paperback,,en,1,Weight: 0.55 Pounds,8.95,https://images.isbndb.com/covers/30/67/9780830633067.jpg,Success,36.0,13.2
1-870206-09-6,Morphine and Dolly Mixtures,"Courtney, Carol-Ann",Honno,,1989,,Hardcover,,en,,,0.0,https://images.isbndb.com/covers/60/99/9781870206099.jpg,Success,51.0,13.2
0-8070-0909-1,Plum Bun: A Novel Without a Moral,Jessie Redmon Fauset,Beacon Pr,379.0,1990,,Paperback,,en,Reprint,"Height: 8 Inches, Length: 5.5 Inches, Weight: 0.9 Pounds, Width: 1.25 Inches",17.0,https://images.isbndb.com/covers/90/93/9780807009093.jpg,Success,86.0,13.2
0-345-36549-6,Susan B. Anthony: A Biography of a Singular Feminist,"Barry, Kathleen",Ballantine Books,,1990-08-18,,Paperback,,en,,Weight: 1.2 Pounds,0.0,https://images.isbndb.com/covers/54/91/9780345365491.jpg,Success,85.0,13.2
0-8248-0998-X,Ni'ihau Shell Leis (Kolowalu Books),"Moriarty, Linda Paik",University of Hawaii Press,104.0,1986-07-01,"Leis, Leis--Hawaii, Hawaiians--Industries, Shellcraft, Shellcraft--Hawaii, DU624.65 .M67 1986, 745.594/2",Hardcover,Linda Paik Moriarty ; Photographs By Leland And Christopher Cook. A Kolowalu Book. Bibliography: P. 104.,en,,"Height: 11.54 Inches, Length: 8.89 Inches, Weight: 3.5935348706 Pounds, Width: 0.58 Inches",0.0,https://images.isbndb.com/covers/99/80/9780824809980.jpg,Success,74.0,13.2
0-8018-3969-6,Performing Feminisms: Feminist Critical Theory and Theatre,,Johns Hopkins University Press,336.0,1990-02-01,,Paperback,"<p>A valuable, provoking, important addition to any theatre scholar or practitioner's library, especially since feminist theory is a relative newcomer to the world of theatre.</p>",en,First Edition,"Height: 10 Inches, Length: 7 Inches, Weight: 1.56307743758 Pounds, Width: 0.76 Inches",28.0,https://images.isbndb.com/covers/96/96/9780801839696.jpg,Success,83.0,13.2
0-517-57335-0,Impressionist Women,"Lucie-Smith, Edward",Harmony,160.0,1989-09-17,"Impressionism (Art), Impressionism (Art)--France, Painting, French, Painting, French--19th century, Women in art, Impressionist artists--Relations with women, Impressionist artists--France--Relations with women, ND547.5.I4 L8 1989, 757/.4/0944",Hardcover,Edward Lucie-smith. Includes Bibliographical References (page 158) And Index.,en,1st ed.,160 p. : ill . ; 30 cm.,0.0,https://images.isbndb.com/covers/33/58/9780517573358.jpg,Success,75.0,13.2
0-907179-50-9,To Do Something Beautiful,Rohini,Inland Womensource,222.0,1990,,Paperback,,en,First Edition,Weight: 0.440924524 Pounds,8.95,https://images.isbndb.com/covers/95/04/9780907179504.jpg,Success,50.0,13.2
0-940975-12-2,Afro-Bets: First Book About Africa : An Introduction for Young Readers,"Ellis, Veronica Freeman",Just Us Books Inc,31.0,1990,Africa - Peoples & Places,Hardcover,"The Afro-Bets Kids: Langston, Nandi, Glo, Stef, Tura, and Robo are together again. This time they explore the continent of Africa as they listen to stories their teacher, Mr. Amageshie, shares with them. From learning about the early tribes of Eygpt to the rolling hills of Africa's natural beauty, here comes a complete and perfect introduction to this vast continent.",en,1,"Height: 11.25 Inches, Length: 8.5 Inches, Weight: 1.00089866948 Pounds, Width: 0.25 Inches",1.99,https://images.isbndb.com/covers/51/25/9780940975125.jpg,Success,71.0,13.2
